++++++++++++++++++++++++++++++++ 2.1 
-------------------------------- trazas/cc.trace --------------------------------
4, Split, 4, 1, WB, WA, 757341, 757340, 226269, 226268, 983610, 82235, 0.0000, 0.0676
8, Split, 4, 2, WB, WA, 757341, 757339, 209336, 209334, 966677, 80732, 0.0000, 0.1373
16, Split, 4, 4, WB, WA, 753804, 753800, 188581, 188577, 942385, 78613, 0.0047, 0.2229
32, Split, 4, 8, WB, WA, 730580, 730572, 161866, 161858, 892446, 71550, 0.0353, 0.3330
64, Split, 4, 16, WB, WA, 666884, 666868, 136720, 136704, 803604, 65243, 0.1194, 0.4366
128, Split, 4, 32, WB, WA, 604143, 604111, 109141, 109109, 713284, 55752, 0.2023, 0.5502
256, Split, 4, 64, WB, WA, 529362, 529298, 82925, 82861, 612287, 43787, 0.3010, 0.6583
512, Split, 4, 128, WB, WA, 454953, 454825, 60111, 59983, 515064, 31820, 0.3993, 0.7523
1024, Split, 4, 256, WB, WA, 398640, 398384, 40189, 39933, 438829, 21005, 0.4736, 0.8344
2048, Split, 4, 512, WB, WA, 308232, 307720, 29941, 29429, 338173, 16088, 0.5930, 0.8766
4096, Split, 4, 1024, WB, WA, 199920, 198896, 21715, 20691, 221635, 13354, 0.7360, 0.9105
8192, Split, 4, 2048, WB, WA, 99691, 97643, 13670, 11622, 113361, 9713, 0.8684, 0.9437
16384, Split, 4, 4096, WB, WA, 48500, 44404, 10797, 6701, 59297, 7990, 0.9360, 0.9555
32768, Split, 4, 8192, WB, WA, 38475, 30283, 9554, 1362, 48029, 7285, 0.9492, 0.9606
65536, Split, 4, 16384, WB, WA, 37005, 20621, 9273, 0, 46278, 7234, 0.9511, 0.9618
131072, Split, 4, 32768, WB, WA, 31195, 0, 9273, 0, 40468, 7234, 0.9588, 0.9618
-------------------------------- trazas/spice.trace --------------------------------
4, Split, 4, 1, WB, WA, 782764, 782763, 204118, 204117, 986882, 65759, 0.0000, 0.0604
8, Split, 4, 2, WB, WA, 782764, 782762, 185640, 185638, 968404, 64499, 0.0000, 0.1454
16, Split, 4, 4, WB, WA, 780135, 780131, 160277, 160273, 940412, 61780, 0.0034, 0.2622
32, Split, 4, 8, WB, WA, 774870, 774862, 137747, 137739, 912617, 55950, 0.0101, 0.3659
64, Split, 4, 16, WB, WA, 576445, 576429, 119032, 119016, 695477, 49991, 0.2636, 0.4521
128, Split, 4, 32, WB, WA, 494190, 494158, 100030, 99998, 594220, 41819, 0.3687, 0.5395
256, Split, 4, 64, WB, WA, 426746, 426682, 59898, 59834, 486644, 27201, 0.4548, 0.7243
512, Split, 4, 128, WB, WA, 362575, 362447, 33711, 33583, 396286, 17750, 0.5368, 0.8448
1024, Split, 4, 256, WB, WA, 191922, 191666, 19993, 19737, 211915, 9784, 0.7548, 0.9080
2048, Split, 4, 512, WB, WA, 107987, 107475, 10170, 9658, 118157, 5703, 0.8620, 0.9532
4096, Split, 4, 1024, WB, WA, 73811, 72787, 7475, 6451, 81286, 4708, 0.9057, 0.9656
8192, Split, 4, 2048, WB, WA, 19782, 17734, 5950, 3902, 25732, 3977, 0.9747, 0.9726
16384, Split, 4, 4096, WB, WA, 10620, 6524, 4225, 129, 14845, 3029, 0.9864, 0.9806
32768, Split, 4, 8192, WB, WA, 8964, 772, 4225, 0, 13189, 3029, 0.9885, 0.9806
65536, Split, 4, 16384, WB, WA, 8964, 0, 4225, 0, 13189, 3029, 0.9885, 0.9806
131072, Split, 4, 32768, WB, WA, 8964, 0, 4225, 0, 13189, 3029, 0.9885, 0.9806
-------------------------------- trazas/tex.trace --------------------------------
4, Split, 4, 1, WB, WA, 597309, 597308, 235156, 235155, 832465, 104513, 0.0000, 0.0001
8, Split, 4, 2, WB, WA, 597309, 597307, 182914, 182912, 780223, 82127, 0.0000, 0.2222
16, Split, 4, 4, WB, WA, 597309, 597305, 156786, 156782, 754095, 82124, 0.0000, 0.3333
32, Split, 4, 8, WB, WA, 485394, 485386, 100815, 100807, 586209, 74659, 0.1874, 0.5713
64, Split, 4, 16, WB, WA, 485394, 485378, 18714, 18698, 504108, 7502, 0.1874, 0.9204
128, Split, 4, 32, WB, WA, 485394, 485362, 14944, 14912, 500338, 7478, 0.1874, 0.9365
256, Split, 4, 64, WB, WA, 272807, 272743, 14944, 14880, 287751, 7478, 0.5433, 0.9365
512, Split, 4, 128, WB, WA, 530, 402, 14944, 14816, 15474, 7478, 0.9991, 0.9365
1024, Split, 4, 256, WB, WA, 160, 0, 14944, 14688, 15104, 7478, 0.9997, 0.9365
2048, Split, 4, 512, WB, WA, 160, 0, 14944, 14432, 15104, 7478, 0.9997, 0.9365
4096, Split, 4, 1024, WB, WA, 160, 0, 14944, 13920, 15104, 7478, 0.9997, 0.9365
8192, Split, 4, 2048, WB, WA, 160, 0, 14944, 12896, 15104, 7478, 0.9997, 0.9365
16384, Split, 4, 4096, WB, WA, 160, 0, 14944, 10848, 15104, 7478, 0.9997, 0.9365
32768, Split, 4, 8192, WB, WA, 160, 0, 9522, 1330, 9682, 7468, 0.9997, 0.9595
65536, Split, 4, 16384, WB, WA, 160, 0, 9522, 0, 9682, 7468, 0.9997, 0.9595
131072, Split, 4, 32768, WB, WA, 160, 0, 9522, 0, 9682, 7468, 0.9997, 0.9595
++++++++++++++++++++++++++++++++ 2.2 
-------------------------------- trazas/cc.trace --------------------------------
8192, Split, 4, 2, WB, WA, 134420, 132372, 16045, 13998, 150465, 10544, 0.8225, 0.9339
8192, Split, 8, 2, WB, WA, 77069, 76045, 11059, 10035, 176256, 12782, 0.8982, 0.9544
8192, Split, 16, 2, WB, WA, 47894, 47382, 8582, 8070, 225904, 16960, 0.9368, 0.9646
8192, Split, 32, 2, WB, WA, 31983, 31727, 7397, 7141, 315040, 24408, 0.9578, 0.9695
8192, Split, 64, 2, WB, WA, 23040, 22912, 7521, 7393, 488976, 41840, 0.9696, 0.9690
8192, Split, 128, 2, WB, WA, 17301, 17237, 9225, 9161, 848832, 91744, 0.9772, 0.9620
8192, Split, 256, 2, WB, WA, 13624, 13592, 11937, 11905, 1635904, 234560, 0.9820, 0.9508
8192, Split, 512, 2, WB, WA, 10679, 10663, 17793, 17777, 3644416, 755840, 0.9859, 0.9267
8192, Split, 1024, 2, WB, WA, 9713, 9705, 28109, 28101, 9682432, 2336256, 0.9872, 0.8842
8192, Split, 2048, 2, WB, WA, 8709, 8705, 44295, 44291, 27138048, 7123968, 0.9885, 0.8175
8192, Split, 4096, 2, WB, WA, 9347, 9345, 71292, 71290, 82574336, 24226816, 0.9877, 0.7062
-------------------------------- trazas/spice.trace --------------------------------
8192, Split, 4, 2, WB, WA, 37618, 35570, 6491, 4443, 44109, 4315, 0.9519, 0.9701
8192, Split, 8, 2, WB, WA, 21743, 20719, 3683, 2659, 50852, 4696, 0.9722, 0.9830
8192, Split, 16, 2, WB, WA, 13585, 13073, 2467, 1955, 64208, 5752, 0.9826, 0.9886
8192, Split, 32, 2, WB, WA, 8976, 8720, 1913, 1657, 87112, 7920, 0.9885, 0.9912
8192, Split, 64, 2, WB, WA, 6590, 6462, 3160, 3032, 156000, 18880, 0.9916, 0.9855
8192, Split, 128, 2, WB, WA, 5073, 5009, 4039, 3975, 291584, 36256, 0.9935, 0.9814
8192, Split, 256, 2, WB, WA, 4230, 4198, 5157, 5125, 600768, 136448, 0.9946, 0.9763
8192, Split, 512, 2, WB, WA, 3543, 3527, 9479, 9463, 1666816, 661504, 0.9955, 0.9564
8192, Split, 1024, 2, WB, WA, 3516, 3508, 12701, 12693, 4151552, 1752832, 0.9955, 0.9415
8192, Split, 2048, 2, WB, WA, 8681, 8677, 22415, 22411, 15921152, 5174784, 0.9889, 0.8968
8192, Split, 4096, 2, WB, WA, 10638, 10636, 44607, 44605, 56570880, 20675584, 0.9864, 0.7947
-------------------------------- trazas/tex.trace --------------------------------
8192, Split, 4, 2, WB, WA, 160, 0, 14944, 12896, 15104, 7478, 0.9997, 0.9365
8192, Split, 8, 2, WB, WA, 87, 0, 7478, 6454, 15130, 7484, 0.9999, 0.9682
8192, Split, 16, 2, WB, WA, 51, 0, 3745, 3233, 15184, 7500, 0.9999, 0.9841
8192, Split, 32, 2, WB, WA, 29, 0, 1882, 1626, 15288, 7544, 1.0000, 0.9920
8192, Split, 64, 2, WB, WA, 20, 0, 961, 833, 15696, 7664, 1.0000, 0.9959
8192, Split, 128, 2, WB, WA, 13, 0, 566, 502, 18528, 8608, 1.0000, 0.9976
8192, Split, 256, 2, WB, WA, 10, 0, 734, 702, 47616, 18304, 1.0000, 0.9969
8192, Split, 512, 2, WB, WA, 15, 8, 1900, 1884, 245120, 113280, 1.0000, 0.9919
8192, Split, 1024, 2, WB, WA, 12, 6, 8620, 8612, 2209792, 966400, 1.0000, 0.9633
8192, Split, 2048, 2, WB, WA, 11, 7, 21175, 21171, 10847232, 5104128, 1.0000, 0.9100
8192, Split, 4096, 2, WB, WA, 14936, 14934, 44798, 44796, 61167616, 22935552, 0.9750, 0.8095
++++++++++++++++++++++++++++++++ 2.3 
-------------------------------- trazas/cc.trace --------------------------------
8192, Split, 128, 4, WB, WA, 15819, 15755, 7232, 7168, 737632, 68384, 0.9791, 0.9702
8192, Split, 128, 8, WB, WA, 15823, 15759, 6386, 6322, 710688, 58624, 0.9791, 0.9737
8192, Split, 128, 16, WB, WA, 15275, 15211, 6067, 6003, 682944, 56416, 0.9798, 0.9750
